winner,opponent_1,opponent_2,community_cards,winner_card_type
"Kd,Kc","9s,As","7h,Qs","Ac,Kh,4d,Td,Ks",Four of a Kind
"9s,9d","Th,Qh","6d,Jc","Ts,2h,9h,8s,9c",Four of a Kind
"Kd,Kh","Js,Jc","8h,Ts","8c,Ks,7s,Kc,6s",Four of a Kind
"Qd,Qc","3s,As","7h,Kc","Ac,4c,Kd,Qs,Qh",Four of a Kind
"8s,8c","9h,9d","Tc,Qs","5h,8h,3d,2h,8d",Four of a Kind
"Js,Jh","Ah,Ad","2d,Qd","7d,Jc,7s,5h,Jd",Four of a Kind
"7c,As","9h,9d","9s,Th","Ac,4d,Ad,Ah,Js",Four of a Kind
"Kd,Ac","9s,9d","4s,Qs","Ad,As,6d,Ts,Ah",Four of a Kind
"7d,Ad","Th,Td","2h,Ah","3d,Qh,7h,7c,7s",Four of a Kind
"Qd,Qc","3s,As","9c,Ac","6s,Td,Ah,Qs,Qh",Four of a Kind
"Ts,Qs","8s,8c","3d,Ac","Qc,3c,Js,Qh,Qd",Four of a Kind
"Ts,Qs","5c,5h","9c,Ks","Qh,2h,7s,Qd,Qc",Four of a Kind
"Th,Td","Jd,Ad","8s,9s","Ts,Kd,Tc,Kc,Qd",Four of a Kind
"8c,8s","9d,Ad","6s,Ts","Ah,4c,8d,3h,8h",Four of a Kind
"Kd,Kh","6c,Ac","4c,Qd","Kc,4h,As,9s,Ks",Four of a Kind
"Ts,As","6h,6s","7s,Kd","Ad,4d,Ac,Ah,8h",Four of a Kind
"Qd,Qc","8c,As","3s,Ks","Ad,2s,Qs,Qh,Jc",Four of a Kind
"Js,Jc","Qd,Ad","2c,Kh","Ts,As,Jh,Td,Jd",Four of a Kind
"Qd,Qc","Js,Jc","8d,Ah","Qh,5c,2s,Kc,Qs",Four of a Kind
"9d,Kd","5s,5d","Jc,Ad","9h,9s,9c,Ah,4d",Four of a Kind
"3c,Ac","Ts,Td","9c,Qc","3s,5d,3d,As,3h",Four of a Kind
"Js,Ac","5h,5d","8d,Kd","Jh,4s,Jc,Jd,Tc",Four of a Kind
"Td,Ad","6c,6h","8c,Tc","As,Ah,Ac,Kc,5d",Four of a Kind
"9d,9s","Qd,Kd","3c,3s","Ah,Kc,9c,9h,Ac",Four of a Kind
"Ts,Ad","8s,8h","5h,Qs","2h,Ah,Ac,As,Qd",Four of a Kind
"7d,Ad","5h,5d","3s,As","7s,7c,7h,4d,8d",Four of a Kind
"Js,Jc","5s,As","5d,Kh","8h,Ad,Jh,2c,Jd",Four of a Kind
"Kd,Ac","8c,8s","Qh,Kh","Kc,Ad,As,4s,Ah",Four of a Kind
"9s,9d","4s,As","7h,Ad","7d,9c,Ac,9h,6d",Four of a Kind
"5h,5d","Js,Ac","6d,Jc","Ah,2c,5s,Qs,5c",Four of a Kind
"Kd,Kh","8c,As","Jh,Ah","Kc,Qc,8d,Ac,Ks",Four of a Kind
"Qd,Qs","Ks,Kh","7d,Th","2d,Qc,Qh,9d,Ac",Four of a Kind
"Td,Ad","8h,Kh","Th,Ah","Kd,Jd,6s,Qd,5h",Royal Flush
"8h,Kh","9d,9s","4d,4h","8d,Td,5c,8s,8c",Four of a Kind
"Jh,Qh","5h,5d","Qc,Kh","3d,Jd,Jc,Js,Ts",Four of a Kind
"9d,Kd","Td,Tc","2s,Qs","5h,9c,Ac,9h,9s",Four of a Kind
"Ks,Kh","Qd,Qs","Tc,Ac","Kc,As,Jh,Kd,7s",Four of a Kind
"6h,6c","Th,Td","Qc,Kd","6s,2c,4d,6d,4c",Four of a Kind
"9h,9c","Th,Ac","8h,Ks","Ad,9s,9d,Qd,3c",Four of a Kind
"Jh,Ah","Qd,Qc","6c,Kd","Kh,Th,Qh,9d,2d",Royal Flush
"6d,6h","4s,As","Tc,Qc","Ad,5h,6c,7h,6s",Four of a Kind
"Ts,Qs","5s,5d","7h,9h","4c,Th,Td,Kh,Tc",Four of a Kind
"Kd,Kh","Jh,Ah","Js,Qs","Tc,Ts,Jd,Ks,Kc",Four of a Kind
"3d,Ad","Ks,As","2h,2s","Ah,2d,4d,Kc,5d",Straight Flush
"8s,8c","Qs,Qd","5c,Kh","8h,4h,8d,9s,7h",Four of a Kind
"Js,Jc","Td,Tc","8s,Ts","3s,Jh,Jd,Qc,2d",Four of a Kind
"Js,Jc","9d,Ad","Qh,Kh","Ah,Jh,5h,Jd,9c",Four of a Kind
"5h,5d","6d,6c","7d,Qs","2d,Ks,5c,Kc,5s",Four of a Kind
"6d,6h","Js,Jc","Qh,Kh","9s,6c,6s,Kd,4d",Four of a Kind
"Js,Jc","9s,9d","7s,As","Jh,Jd,6c,7h,Kd",Four of a Kind
"6d,6h","Td,Tc","3h,Qh","6s,6c,9c,3d,3s",Four of a Kind
"Th,Td","Qs,Qd","Jc,Kc","Ts,8d,Tc,2c,Ks",Four of a Kind
"7h,7d","Qh,Qs","Ts,Ks","Kh,2c,Jd,7c,7s",Four of a Kind
"5s,5d","8s,Ac","8c,Qd","5c,6h,Ah,5h,Kd",Four of a Kind
"7s,7c","Jh,Ah","6d,Jc","Js,7d,5d,8d,7h",Four of a Kind
"Ah,Ad","Th,Td","9d,Kh","8h,3c,Ks,Ac,As",Four of a Kind
"6c,6h","Js,Jh","4c,Qh","5c,6s,5d,9s,6d",Four of a Kind
"8c,8d","Td,Qd","2c,Qc","2s,Qh,2d,8s,8h",Four of a Kind
"Jh,Qh","Qd,Ad","8h,Ks","Ah,Qc,Kh,Th,2d",Royal Flush
"Ah,As","8c,8s","2s,Qs","4d,Qh,Ad,5c,Ac",Four of a Kind
"Tc,Kc","7d,Ad","9h,Th","Jc,Ac,Qh,2d,Qc",Royal Flush
"Qd,Qc","Js,Jc","Ts,Kh","3d,Qs,Ac,8d,Qh",Four of a Kind
"Qd,Qc","Js,Jc","7h,7c","8h,Qs,Kc,Qh,4s",Four of a Kind
"Qd,Qc","Js,Jc","6h,Kh","Qs,As,2h,3c,Qh",Four of a Kind
"Ah,Ad","8s,8c","8h,Kd","As,9h,7h,3d,Ac",Four of a Kind
"Kd,Kc","Th,Ac","9d,Tc","Kh,Ks,Jh,Ah,7c",Four of a Kind
"Js,Jc","8h,Ah","9h,Th","Jh,Ad,Ts,Jd,3d",Four of a Kind
"Kd,Kh","8c,8s","7d,8d","4d,Js,Kc,2c,Ks",Four of a Kind
"7d,Ad","Th,Td","3c,3h","Ac,As,Ah,Kd,Tc",Four of a Kind
"9s,9d","Kd,Kh","5s,Js","3h,9c,8d,9h,8h",Four of a Kind
"5s,5d","Js,Jh","8s,9h","4h,5c,4c,5h,6s",Four of a Kind
"8s,8h","7c,As","Jc,Qc","4c,Ad,8d,4s,8c",Four of a Kind
"Js,Jc","9s,9d","Kc,Ac","Jd,Ks,3c,8d,Jh",Four of a Kind
"5h,5d","Qh,Qc","7d,Tc","6h,5c,As,5s,9d",Four of a Kind
"7s,7c","Qd,Qc","5c,Kc","2d,2s,7h,4d,7d",Four of a Kind
"Ah,As","8c,8s","Tc,Qc","Ad,Jd,4c,6h,Ac",Four of a Kind
"Kd,Kh","Td,Tc","6s,Ts","4h,Ks,Qc,Kc,8d",Four of a Kind
"Qc,Kh","Js,Ks","6s,Ad","Qh,Qd,Kd,Qs,Ac",Four of a Kind
"5h,5d","Js,Jc","2s,Qs","3h,5c,5s,Kd,7s",Four of a Kind
"Jh,Qh","Kd,Ac","5s,Qd","Kh,Ah,Qc,4s,Th",Royal Flush
"Jd,Jc","7h,Ah","8c,Td","Js,Jh,7d,2h,9s",Four of a Kind
"Qs,Qc","Jd,Jc","4h,Ks","Ad,Qh,Qd,9d,7h",Four of a Kind
"Th,Td","8s,8c","6h,As","Tc,5s,3d,Ts,Jd",Four of a Kind
"Ah,As","Js,Jc","6h,Jh","2c,9s,Ac,Ad,Qc",Four of a Kind
"8c,8d","5d,Ad","4d,Qd","Ah,8h,4h,8s,5c",Four of a Kind
"Js,Jc","9s,9d","6h,Kh","Qc,2c,Jh,Jd,3d",Four of a Kind
"Kd,Kh","9s,9d","3h,Qh","3d,Kc,Jh,2h,Ks",Four of a Kind
"6d,6h","Qh,Ac","4s,Ah","Qc,6c,7s,6s,Kd",Four of a Kind
"Js,Jc","Td,Tc","7s,As","Kc,2s,Jd,5c,Jh",Four of a Kind
"8h,8s","Jd,Jc","6c,Tc","7d,Qc,3s,8c,8d",Four of a Kind
"Td,Tc","7s,7c","4h,4d","Ts,Th,6s,5d,Ad",Four of a Kind
"Qd,Qc","Td,Tc","5d,5h","Qs,4c,Jd,2c,Qh",Four of a Kind
"5h,5d","9s,9d","8c,8h","Ts,5c,7h,4d,5s",Four of a Kind
"8h,8s","9h,9d","2c,Kh","8c,8d,Jd,Jh,2d",Four of a Kind
"7s,7d","Qh,Qc","5s,Kh","Js,7h,Kc,3h,7c",Four of a Kind
"Qd,Ad","9s,9d","8c,8h","Ah,As,Kh,Ac,9c",Four of a Kind
"7c,7s","Kc,Ks","3h,Qd","4d,9d,7h,Ac,7d",Four of a Kind
"5c,5h","9d,9s","3c,3s","5s,2s,5d,7s,Kd",Four of a Kind
"8s,8c","Th,Td","6d,Jd","8d,8h,As,2c,3h",Four of a Kind
"Qs,Qd","7d,Ad","Jc,Kc","7h,3d,9s,Qc,Qh",Four of a Kind
"Qs,Qd","7c,7s","4h,Ah","Th,4c,Qc,5d,Qh",Four of a Kind
"6d,6h","7s,7c","2s,Qs","5d,6c,6s,4h,5s",Four of a Kind
"7s,7c","Jh,Ah","3s,Ks","6d,7h,Js,7d,Kc",Four of a Kind
"Js,Jh","9c,Ac","4h,Ah","Kc,Jc,Jd,7d,9h",Four of a Kind
"8c,8h","Td,Th","9c,Ks","2c,6c,Qs,8s,8d",Four of a Kind
"Td,Qd","Jh,Qh","5s,Kh","Jd,3s,8d,9d,Ah",Straight Flush
"5s,5d","Th,Kc","9s,Qd","Td,5h,Qs,5c,2c",Four of a Kind
"7s,7c","Js,Jc","3s,As","Tc,4h,7d,7h,Qs",Four of a Kind
"6h,6c","9d,Kd","9c,Tc","6s,8d,Ks,Qs,6d",Four of a Kind
"Qs,Qd","8s,Ac","9d,Ad","8h,Kd,Qh,5d,Qc",Four of a Kind
"9s,9d","3s,As","8h,Ks","2s,9c,3d,Jh,9h",Four of a Kind
"7h,7c","8d,Ah","8c,Tc","7d,Ad,2s,7s,2d",Four of a Kind
"7d,7c","Ks,Kh","5s,Ts","Ac,8h,2h,7s,7h",Four of a Kind
"8c,8d","Qh,Qc","7s,Ks","8s,5c,6d,8h,9h",Four of a Kind
"5c,5h","Td,Th","6s,Qc","8s,9d,5s,Jc,5d",Four of a Kind
"9s,9d","Td,Tc","Kc,Ah","7s,9h,Ks,8d,9c",Four of a Kind
"7c,Ad","Th,Qh","8h,Ah","Tc,7s,7h,7d,As",Four of a Kind
"Td,Kd","Jh,Ah","8s,Ts","2s,Jd,Qd,9d,7c",Straight Flush
"6d,6h","Js,Ac","4s,As","6s,Qs,Jd,8s,6c",Four of a Kind
"8c,8s","Td,Tc","Jh,Ah","Kc,8d,6c,8h,4s",Four of a Kind
"8c,8s","Td,Tc","9s,Qs","8d,Ks,6h,8h,5c",Four of a Kind
"Kd,Kh","8c,8s","3d,Qc","9c,Kc,4s,Ks,3s",Four of a Kind
"9d,Kd","Td,Ah","5h,Qh","Tc,Kh,9c,9s,9h",Four of a Kind
"Th,Td","8s,Ac","Ks,As","Ts,Tc,8h,Js,3c",Four of a Kind
"8s,8c","Qs,Qd","7s,Ts","Ah,Tc,8d,8h,7d",Four of a Kind
"7s,7d","Qd,Ad","2d,Ah","Qs,Js,7h,7c,Kd",Four of a Kind
"Td,Tc","9d,Kd","2s,Qs","9h,Qd,4d,Th,Ts",Four of a Kind
"5h,5d","7s,7c","4s,As","5s,Qs,2c,5c,6d",Four of a Kind
"7s,7c","6d,6h","Tc,Qc","7d,8s,5c,7h,3s",Four of a Kind
"5h,5d","Td,Tc","3s,As","9d,5c,4c,5s,Kc",Four of a Kind
"Js,Jc","8c,8s","3d,Kh","5s,7c,Jh,9h,Jd",Four of a Kind
"Qh,Qc","Th,Td","6c,9c","8s,Qs,2d,Qd,Ks",Four of a Kind
"Ah,As","7s,7c","8d,9d","Ac,Kc,2d,5d,Ad",Four of a Kind
"Js,Jh","Ah,Ad","7s,Td","Jc,9d,Jd,Qh,8h",Four of a Kind
"Kd,Kc","8c,8d","4s,As","Ks,6s,Kh,2s,Ad",Four of a Kind
"Kd,Kc","Td,Qd","8d,Ad","Jc,Ks,Kh,Ts,2d",Four of a Kind
"Ah,As","8c,8s","8h,Ts","7c,Ad,5s,Qc,Ac",Four of a Kind
"Td,Tc","Js,Ac","Jd,Kd","Ts,Jc,As,Kh,Th",Four of a Kind
"Ks,Kh","7d,Ad","5h,5c","As,Td,Kd,Tc,Kc",Four of a Kind
"Kd,Kh","Td,Tc","6s,As","9d,Kc,Ks,Ah,9s",Four of a Kind
"8c,8h","Jd,Jc","7h,Tc","8d,4h,8s,4d,Ks",Four of a Kind
"6c,6h","9h,9d","5c,5s","4h,3c,Qc,6s,6d",Four of a Kind
"Th,Qh","Js,Ac","6s,As","3d,9h,Jh,Kh,3c",Straight Flush
"8h,Kh","Jd,Jc","9c,Kc","Ks,8s,8c,8d,Qs",Four of a Kind
"6d,6h","Js,Jc","Kc,Ah","As,7c,6s,7h,6c",Four of a Kind
"7s,7c","8c,As","Jd,Kd","4c,8s,7h,7d,5s",Four of a Kind
"Ah,Ad","8s,8c","6d,9d","7s,Ac,2d,As,Js",Four of a Kind
"8h,Ah","9s,9d","7h,Jc","8s,8d,Ks,8c,Qs",Four of a Kind
"Kc,Ks","8s,8c","6c,Qh","3d,Kd,Jc,Kh,5d",Four of a Kind
"8h,Ah","9c,Ad","7h,Tc","9h,8d,8s,Kh,8c",Four of a Kind
"7s,7d","8c,8d","9s,Ac","7h,7c,Kh,6c,2h",Four of a Kind
"6d,6h","Tc,Ac","7h,Qc","9c,6c,Th,6s,Js",Four of a Kind
"8c,8s","Kd,Kh","5h,Qd","Ah,8d,8h,9s,9h",Four of a Kind
"8c,8h","Qs,Qc","2d,Jd","7h,9h,8d,Kd,8s",Four of a Kind
"8h,8s","7d,Ah","Ts,Ks","3s,7h,8c,8d,9d",Four of a Kind
"9d,Kd","Td,Tc","Th,Ad","Qc,Kh,Ks,Kc,Jd",Four of a Kind
"6h,6s","8c,8h","7h,9h","5h,6c,Th,6d,4c",Four of a Kind
"9s,9d","Kd,Kh","Qc,Ad","8c,Ac,9h,6h,9c",Four of a Kind
"6d,6h","9s,9d","Js,Qh","6s,5c,Td,6c,4d",Four of a Kind
"6d,6h","7s,7c","8d,9d","6s,6c,3c,4h,8h",Four of a Kind
"Kd,Kh","Td,Tc","5d,5h","9c,Ks,Kc,9h,Qs",Four of a Kind
"Qh,Kh","3s,As","7h,Jc","Qs,3h,6d,Qc,Qd",Four of a Kind
"5s,5d","6s,As","Td,Jd","Qh,5h,6c,2c,5c",Four of a Kind
"8c,8d","Th,Td","5d,Jd","9h,6s,5h,8s,8h",Four of a Kind
"9s,9d","Th,Qh","4h,4d","9h,Ac,Td,9c,3s",Four of a Kind
"7h,7c","5c,5h","4s,Js","7s,2d,3h,7d,Kd",Four of a Kind
"3h,Ah","6h,6s","Kh,As","5h,4h,7c,2h,9h",Straight Flush
"7d,7c","9h,9d","8d,Qd","3d,Jh,7h,7s,3c",Four of a Kind
"Js,Jc","5h,5d","2c,Kh","4d,3d,Jd,Jh,Tc",Four of a Kind
"Ah,As","7s,7c","Td,Kd","2c,Ad,5d,Ac,8c",Four of a Kind
"7s,7c","Th,Qh","2c,2h","7h,8d,Ts,7d,6c",Four of a Kind
"8d,Ad","5h,5d","9s,Qh","Ah,As,Ac,8s,6c",Four of a Kind
"6d,6h","Td,Tc","7h,Qc","3s,6c,Kd,6s,3h",Four of a Kind
"5h,5d","6d,6h","6c,9c","5s,2s,4h,5c,Ts",Four of a Kind
"9d,9s","8c,8h","7d,7c","7s,Qs,7h,9c,9h",Four of a Kind
"6d,6h","9d,Kd","8h,Ah","2c,6c,Kh,Ac,6s",Four of a Kind
"Kc,Ac","7h,7c","9c,Qs","Kd,Kh,Ks,Jh,8s",Four of a Kind
"4s,As","Th,Td","7s,7h","4h,Qs,4c,Kc,4d",Four of a Kind
"Qd,Qc","6c,Ac","8c,8h","Qh,6s,Qs,Kc,Ks",Four of a Kind
"8c,8s","Js,Kc","9c,Ac","8h,Ad,Kd,9s,8d",Four of a Kind
"Jc,Js","Qd,Ad","7d,Tc","Jd,Ts,Th,5d,Jh",Four of a Kind
"Td,Tc","Qh,Kh","2s,Js","As,Ac,Th,Ts,8s",Four of a Kind
"Td,Tc","9d,Kd","7d,Qd","Ac,Kh,3h,Th,Ts",Four of a Kind
"9s,9d","Th,Qh","4h,Kd","Qs,Ac,4c,9c,9h",Four of a Kind
"9h,9c","Qh,As","Qc,Ac","9d,Js,9s,Qd,8d",Four of a Kind
"5s,As","7c,Ad","6c,Kd","4s,Ac,9h,2s,3s",Straight Flush
"Kc,Ks","6s,As","9s,Jd","Kd,Tc,Ah,Kh,Jc",Four of a Kind
"9h,Ah","6d,6c","Js,As","9d,9s,9c,8s,Ac",Four of a Kind
"Kd,Kh","Jh,Qh","7d,Qd","Qs,Ac,7s,Kc,Ks",Four of a Kind
"5h,5d","9s,9d","7h,Kc","6h,5s,5c,4d,8c",Four of a Kind
"8c,8s","Js,Jc","4s,Qs","6s,8h,As,8d,6h",Four of a Kind
"5h,5d","Jd,Ks","4s,As","Jc,5s,Td,Qc,5c",Four of a Kind
"Jh,Qh","Td,Ad","5h,Th","Jd,Jc,Js,Qd,9d",Four of a Kind
"8c,8s","6d,6h","4c,Qd","2s,Tc,8h,8d,2d",Four of a Kind
"Ah,As","Jh,Qh","Ts,Kh","Js,Ks,Ac,Ad,8s",Four of a Kind
"Qh,Kh","Kd,Ac","5s,Ah","Qd,Qs,2h,Qc,9c",Four of a Kind
"8d,Kd","Qc,Ac","7d,Qd","8s,8h,8c,3c,9h",Four of a Kind
"9d,Ad","Qh,Kh","7h,Tc","Ah,7c,4h,As,Ac",Four of a Kind
"7d,7c","Jc,Qc","Js,As","7h,Qh,Kh,8s,7s",Four of a Kind
"9s,9d","8c,8s","8h,Qh","4h,Js,9h,9c,4s",Four of a Kind
"5h,5d","6c,Ac","6d,Qd","Qc,5c,Js,6h,5s",Four of a Kind
"7s,7d","5h,5d","8c,Kc","4d,7h,7c,9c,4h",Four of a Kind
"6h,6c","Th,Td","8c,Tc","6d,Kh,6s,Ah,2s",Four of a Kind
"5h,5d","7s,7c","7h,Qc","5s,3h,9s,Kh,5c",Four of a Kind
"Td,Kd","Js,Kc","6c,9c","Jd,Qd,Ad,2c,3h",Royal Flush
"7s,7c","8c,8s","5d,Kh","Js,7d,7h,3s,Qh",Four of a Kind
"8c,8s","Td,Kd","2c,Ac","Th,8d,3h,Ad,8h",Four of a Kind
"Qc,Kh","Ks,As","2c,2h","Qs,Qd,2s,Qh,9d",Four of a Kind
"As,Ad","8h,8s","4h,Jh","Kd,Ac,Ah,5d,Tc",Four of a Kind
"9h,Ah","Jh,Qh","5c,Tc","9c,9s,Td,8h,9d",Four of a Kind
"5c,5h","9d,9s","9c,Ks","5d,Kh,2d,5s,Td",Four of a Kind
"Qs,Qc","6h,6s","3c,Kh","2c,Qh,Qd,9d,7s",Four of a Kind
"Kd,Kh","9h,Ad","6d,Jc","Jd,Tc,As,Kc,Ks",Four of a Kind
"Kh,Ah","Jd,Ad","6d,Qd","Kd,Td,Ks,3d,Kc",Four of a Kind
"Qd,Ad","Tc,Ac","4s,Ah","As,Jd,Ks,Kd,Td",Royal Flush
"7d,Ad","Qc,Kh","9d,Kd","Ac,2c,Ah,7c,As",Four of a Kind
"9s,9d","6d,6h","4c,Qd","2d,9h,As,9c,Ks",Four of a Kind
"6s,As","Qc,Kh","6c,Qh","Ah,5c,Ac,Ad,4h",Four of a Kind
"9h,Kh","3c,Ac","4c,Kd","9c,5c,9s,Kc,9d",Four of a Kind
"5h,5d","7s,7d","8c,Kc","Tc,3s,5c,Qh,5s",Four of a Kind
"9d,Kd","Qh,Ac","6c,9c","Ks,5d,Kc,Kh,Td",Four of a Kind
"Td,Ad","9c,Ac","9s,Jd","Th,5d,Tc,2c,Ts",Four of a Kind
"7s,7c","8c,8s","2d,Kd","7h,9d,4d,7d,4s",Four of a Kind
"Ks,As","9c,Ac","Td,Kd","Js,Ah,Qh,Qs,Ts",Royal Flush
"Td,Qd","Kh,As","8c,Tc","Qc,6h,Qs,Qh,Jh",Four of a Kind
"9h,9d","7c,7s","3c,3h","4h,9s,Ks,9c,Jd",Four of a Kind
"5h,5d","8c,8s","Ts,Qc","As,6c,5s,5c,Tc",Four of a Kind
"6d,6h","8c,8s","Td,Kd","Ks,6s,3h,6c,As",Four of a Kind
"7c,As","Jd,Kd","7s,Td","Ac,Ad,6d,Ah,Th",Four of a Kind
"5h,5d","Js,Jc","6d,Qd","5s,4d,5c,Ac,Kc",Four of a Kind
"9h,9c","Th,Td","8c,Kc","9s,Js,4d,Qd,9d",Four of a Kind
"Th,Td","7c,7s","9s,Jd","Tc,2c,9h,Ts,Qs",Four of a Kind
"Jh,Ah","Ks,As","2c,Ac","Js,2d,Jc,Jd,3d",Four of a Kind
"Qs,Qd","Th,Kc","6h,Kh","Qc,Td,8d,Qh,Jc",Four of a Kind
"5h,5d","8c,8s","3h,Qh","Qc,6h,5c,5s,Jc",Four of a Kind
"Tc,Ac","Qh,Kh","4h,4d","Qc,Jc,Td,5h,Kc",Royal Flush
"9h,Kh","Ks,Ah","8h,As","Jh,4s,Th,Qh,3c",Straight Flush
"Td,Ts","Th,Ad","6d,As","Qd,Kd,3c,Jd,9d",Straight Flush
"5c,Ah","5s,5h","8s,Js","Ad,As,Ac,9c,Kd",Four of a Kind
"8s,Ah","8h,Kh","2s,2h","Ac,5d,8d,As,Ad",Four of a Kind
"Qd,As","5h,Ah","8d,Jc","9c,5d,Qs,Qc,Qh",Four of a Kind
"Kd,Ad","Ac,As","4c,Jc","3c,Ks,Kh,Qc,Kc",Four of a Kind
"Ts,Ac","Qh,As","9c,Jc","Jh,Th,Td,Tc,Kc",Four of a Kind
"Jc,Ks","Js,As","2c,Ad","Kd,Kc,Kh,4c,3d",Four of a Kind
"Kh,Ac","Kc,Kd","4h,Qc","Ad,Jh,As,Ah,6d",Four of a Kind
"6c,Ad","6d,6s","7s,Qs","6h,Ah,As,Js,Ac",Four of a Kind
"9h,Ad","Ac,As","3d,Kc","4d,9c,3h,9d,9s",Four of a Kind
"Kh,Ac","Kc,Kd","Th,As","3c,4c,5c,8s,2c",Straight Flush
"Js,Ad","Qh,As","4c,Ac","Ts,Jh,Jd,Jc,3h",Four of a Kind
"Kd,Ad","Ac,As","6s,Ts","2d,Ks,Kc,Jc,Kh",Four of a Kind
"Js,Ad","Kd,As","4s,Ac","Qh,Jh,Jd,Jc,Ah",Four of a Kind
"Td,Ac","Ah,As","Jh,Kd","6d,Js,Tc,Ts,Th",Four of a Kind
"5s,Ac","Ah,As","3d,Qc","5h,5c,Ks,4c,5d",Four of a Kind
"Js,Kc","Ks,As","7h,Tc","9s,Ts,8s,2s,Qs",Straight Flush
"9s,As","Ah,Ad","Qs,Ks","Js,Qh,9d,9c,9h",Four of a Kind
"Th,Ah","Td,Tc","2s,Qs","7s,As,7d,Ad,Ac",Four of a Kind
"Ts,Qc","Qs,Qd","6h,Kh","Tc,Th,4d,5d,Td",Four of a Kind
"Qs,Kh","Qd,Qc","3h,Qh","4d,Ks,Kc,6d,Kd",Four of a Kind
"Th,Ac","Td,Tc","7h,Qc","Ah,4c,As,7s,Ad",Four of a Kind
"Td,Ks","Kd,Kh","3h,3c","Jd,9h,9d,Qd,8d",Straight Flush
"Qc,Kd","Kc,Ac","3h,Ah","Qs,Kh,Qh,4h,Qd",Four of a Kind
"Ks,Ac","4s,As","8c,Qs","Kh,Ah,Jh,Kc,Kd",Four of a Kind
"Js,Ah","Jh,Qh","7h,Kc","9d,Ad,Qd,Ac,As",Four of a Kind
"8s,Ah","8c,8h","7h,9h","9d,Ac,As,Ad,3s",Four of a Kind
"9h,Kd","9s,9d","5h,Th","Kc,5s,Qd,Kh,Ks",Four of a Kind
"Td,Jh","Qd,As","Ah,Ad","Qh,Qs,Th,Tc,Ts",Four Of A Kind
"8d,9d","Jh,Ks","9h,Kh","Tc,Qs,Jd,7d,Td",Straight Flush
"2h,Ac","Qs,Kd","Ks,Kc","2s,8s,6s,2d,2c",Four Of A Kind
"8s,Js","As,Ad","5h,Ah","5c,2s,8c,8h,8d",Four Of A Kind
"Js,Ac","Kc,As","8h,Ah","Kh,Jh,8s,Jc,Jd",Four Of A Kind
"5h,Ks","9c,As","Kc,Ah","4h,8h,6h,7h,3h",Straight Flush
"Js,Ac","8c,8s","8h,Kh","6s,Jh,8d,Jc,Jd",Four Of A Kind
"4d,Ad","Kh,Ac","9c,Ah","As,4c,4h,4s,6d",Four Of A Kind
"8d,8c","Kc,As","Jh,Ah","Ad,8s,3s,2s,8h",Four Of A Kind
"2s,2h","9c,As","Kh,Ah","Ac,6d,2d,Qh,2c",Four Of A Kind
"Td,Ac","As,Ad","Qd,Ah","Jd,Ts,Tc,Th,9h",Four Of A Kind
"2s,2h","As,Ad","8h,Ah","Ts,8c,3s,2d,2c",Four Of A Kind
"Jd,Kd","Js,Ah","7c,Ac","Qd,Qh,Ad,Jh,Td",Royal Flush
"4s,4c","Qd,Ac","8h,Ah","4h,2s,As,4d,Tc",Four Of A Kind
"4h,Qc","Kd,Ac","Js,As","Qs,Qd,Th,8s,Qh",Four Of A Kind
"2s,2c","Js,Kh","Qs,Ks","Jc,Kc,Kd,2h,2d",Four Of A Kind
"8s,Jd","Qs,Ks","Ts,Kh","7s,9s,Js,5s,6s",Straight Flush
"5c,5s","7h,Ad","Ts,Ac","5d,5h,Ah,4s,Kc",Four Of A Kind
"Qh,Ah","Ad,Ac","7s,As","7c,Qd,Qs,Qc,2c",Four Of A Kind
"4c,Jc","Js,Kc","9s,Ks","Th,Kd,4s,4d,4h",Four Of A Kind
"7s,Kc","Tc,Ac","Ts,Qs","7c,7h,Th,8s,7d",Four Of A Kind
"4s,4d","5d,Ah","6d,Ad","3c,4h,As,4c,9d",Four Of A Kind
"8h,8c","Qh,Ad","Ac,As","Qc,8d,Ks,8s,2d",Four Of A Kind
"5d,As","9d,9s","9h,Ac","Ad,5h,5s,5c,8c",Four Of A Kind
"9s,Qd","Ks,Ac","5s,As","8s,Js,Ts,7s,Kd",Straight Flush
"6d,6c","Kc,As","Js,Ks","9s,2s,6s,7c,6h",Four Of A Kind
"2d,2s","7c,Ad","4c,Ac","As,Jc,5h,2c,2h",Four Of A Kind
"2c,2h","Jc,Kc","Js,Ac","Jh,Th,2d,3d,2s",Four Of A Kind
"8c,8h","9d,As","9h,Ad","8d,7d,Ah,8s,5s",Four Of A Kind
"5c,5s","Th,Ad","Td,Kd","Tc,2s,3h,5h,5d",Four Of A Kind
"7h,7c","Qc,Kh","Th,Qh","6c,7d,Qs,9h,7s",Four Of A Kind
"6c,9c","Qh,Kc","Kd,Kh","5c,8c,Ks,9h,7c",Straight Flush
"8s,Js","Th,Kd","Td,Tc","Ts,8c,8h,8d,3h",Four Of A Kind
"8c,8h","9h,Ad","9s,9d","Qd,8d,3h,Qs,8s",Four Of A Kind
"2c,Kd","Jd,Kc","Ks,Kh","Qd,Jh,2h,2d,2s",Four Of A Kind
"8h,8c","Qd,Kc","Ks,Kh","Kd,2h,As,8d,8s",Four Of A Kind
"6c,6h","4c,Ac","5h,Qh","9s,Ad,6s,6d,Jc",Four of a Kind
